Chamber,1,Data,File,,
C:\Users\UT,South,Western,MC\Documents\MED,Associates\MEDCMG\mouse,1
IR=,6,SD=,14.5,MP=,67.37
9/14/23,8:48:26,AM,,,
Time,Motion,Scale,Vol,Vol,Pressure
50.5,0,0.004,2.8,2.8,19.1
50.75,0,0.004,2.8,2.8,19.1
51,0,0.004,2.8,2.8,19.1
51.25,0,0.004,2.8,2.8,19.1
51.5,0,0.004,2.9,2.9,19.1
51.75,0,0.004,2.9,2.9,19.4
52,0,0.004,2.9,2.9,19.4
52.25,0,0.004,2.9,2.9,19.4
52.5,0,0.004,3,3,19.4
52.75,0,0.004,3,3,19.4
53,0,0.004,3,3,19.4
53.25,0,0.004,3,3,19.4
53.5,0,0.004,3.1,3.1,19.5
53.75,0,0.004,3.1,3.1,19.6
54,0,0.004,3.1,3.1,19.7
54.25,0,0.004,3.1,3.1,19.7
54.5,0,0.005,3.2,3.2,19.7
54.75,0,0.005,3.2,3.2,19.9
55,0,0.005,3.2,3.2,20.1
55.25,0,0.005,3.2,3.2,20.1
55.5,0,0.005,3.3,3.3,19.9
55.75,0,0.005,3.3,3.3,19.7
56,0,0.005,3.3,3.3,20
56.25,0,0.005,3.3,3.3,20.2
56.5,0,0.005,3.4,3.4,20.3
56.75,0,0.005,3.4,3.4,19.4
57,0,0.005,3.4,3.4,17.3
57.25,0,0.005,3.4,3.4,16.5
57.5,0,0.005,3.5,3.5,16
57.75,0,0.005,3.5,3.5,15.7
58,0,0.005,3.5,3.5,15.4
58.25,0,0.005,3.5,3.5,15.5
58.5,0,0.005,3.6,3.6,15.8
58.75,0,0.005,3.6,3.6,16.1
59,0,0.005,3.6,3.6,16.5
59.25,0,0.005,3.6,3.6,16.8
59.5,0,0.005,3.7,3.7,17
59.75,0,0.005,3.7,3.7,17.1
60,0,0.005,3.7,3.7,17.4
60.25,0,0.005,3.7,3.7,17.7
60.5,0,0.005,3.8,3.8,17.8
60.75,0,0.005,3.8,3.8,18
61,0,0.005,3.8,3.8,18.1
61.25,0,0.005,3.8,3.8,18.3
61.5,0,0.005,3.9,3.9,18.4
61.75,0,0.005,3.9,3.9,18.6
62,0,0.005,3.9,3.9,18.8
62.25,0,0.005,3.9,3.9,19
62.5,0,0.005,4,4,19.1
62.75,0,0.005,4,4,19.3
63,0,0.005,4,4,19.4
63.25,0,0.005,4,4,19.6
63.5,0,0.005,4.1,4.1,19.7
63.75,0,0.005,4.1,4.1,19.8
64,0,0.005,4.1,4.1,20
64.25,0,0.005,4.1,4.1,20.1
64.5,0,0.005,4.2,4.2,20.1
64.75,0,0.005,4.2,4.2,20.1
65,0,0.004,4.2,4.2,20.1
65.25,0,0.004,4.2,4.2,20.1
65.5,0,0.004,4.3,4.3,20.3
65.75,0,0.004,4.3,4.3,19.6
66,0,0.004,4.3,4.3,17.9
66.25,0,0.004,4.3,4.3,17.6
66.5,0,0.004,4.4,4.4,17
66.75,0,0.004,4.4,4.4,16.4
67,0,0.004,4.4,4.4,16.1
67.25,0,0.004,4.4,4.4,15.9
67.5,0,0.004,4.5,4.5,15.8
67.75,0,0.004,4.5,4.5,15.5
68,0,0.004,4.5,4.5,15.5
68.25,0,0.004,4.5,4.5,15.8
68.5,0,0.004,4.6,4.6,16.1
68.75,0,0.004,4.6,4.6,16.2
69,0,0.004,4.6,4.6,16.4
69.25,0,0.004,4.6,4.6,16.6
69.5,0,0.004,4.7,4.7,16.8
69.75,0,0.004,4.7,4.7,17.2
70,0,0.005,4.7,4.7,17.4
70.25,0,0.005,4.8,4.8,17.7
70.5,0,0.005,4.8,4.8,17.8
70.75,0,0.005,4.8,4.8,18.1
71,0,0.005,4.8,4.8,18.3
71.25,0,0.005,4.9,4.9,18.6
71.5,0,0.005,4.9,4.9,18.8
71.75,0,0.005,4.9,4.9,19
72,0,0.005,4.9,4.9,19.1
72.25,0,0.005,5,5,19.4
72.5,0,0.005,5,5,19.4
72.75,0,0.005,5,5,19.7
73,0,0.005,5,5,19.8
73.25,0,0.004,5.1,5.1,20.1
73.5,0,0.004,5.1,5.1,20.2
73.75,0,0.004,5.1,5.1,20.4
74,0,0.004,5.1,5.1,20.5
74.25,0,0.004,5.2,5.2,20.7
74.5,0,0.004,5.2,5.2,20.7
74.75,0,0.004,5.2,5.2,20.7
75,0,0.004,5.2,5.2,20.7
75.25,0,0.004,5.3,5.3,20.9
75.5,0,0.004,5.3,5.3,20.9
75.75,0,0.004,5.3,5.3,20.9
76,0,0.004,5.3,5.3,20.5
76.25,0,0.004,5.4,5.4,18.9
76.5,0,0.004,5.4,5.4,19
76.75,0,0.004,5.4,5.4,18.4
77,0,0.004,5.4,5.4,17.9
77.25,0,0.004,5.5,5.5,17.6
77.5,0,0.003,5.5,5.5,17.2
77.75,0,0.003,5.5,5.5,17.1
78,0,0.003,5.5,5.5,16.7
78.25,0,0.003,5.6,5.6,16.5
78.5,0,0.003,5.6,5.6,16.9
78.75,0,0.003,5.6,5.6,17.1
79,0,0.003,5.6,5.6,17.4
79.25,0,0.003,5.7,5.7,17.5
79.5,0,0.004,5.7,5.7,17.8
79.75,0,0.004,5.7,5.7,18
80,0,0.004,5.7,5.7,18.2
80.25,0,0.004,5.8,5.8,18.4
80.5,0,0.004,5.8,5.8,18.6
80.75,0,0.004,5.8,5.8,18.8
81,0,0.004,5.8,5.8,19
81.25,0,0.004,5.9,5.9,19.2
81.5,0,0.004,5.9,5.9,19.4
81.75,0,0.004,5.9,5.9,19.4
82,0,0.004,5.9,5.9,19.7
82.25,0,0.004,6,6,19.7
82.5,0,0.004,6,6,20
82.75,0,0.004,6,6,20.1
83,0,0.004,6,6,20.3
83.25,0,0.004,6.1,6.1,20.4
83.5,0,0.004,6.1,6.1,20.4
83.75,0,0.004,6.1,6.1,20.5
84,0,0.004,6.1,6.1,20.7
84.25,0,0.004,6.2,6.2,20.9
84.5,0,0.004,6.2,6.2,19.8
